aliases,avg_confidence,confidence_values,evidence_texts,fusion_status,id,label,mention_count,name,needs_review,normalized_name,rationales,source_cases,source_entity_ids,source_span_ids,vote_summaries
"['临时建筑坍塌致使人员伤亡事故', '临时建筑坍塌致使人员伤亡']",,[],[],canonical,AccidentCase:canonical:22562b0df4e81c5a4c32c16407ba2d25,AccidentCase,,临时建筑坍塌致使人员伤亡事故,False,临时建筑坍塌致使人员伤亡事故,[],['HCA-b9630e82d7'],['AccidentCase:HCA-b9630e82d7'],[],[]
['河堤挡墙'],,[],['钢筋加工区域临河侧浆砌石挡墙突然发生坍塌'],canonical,EngineeringObject:canonical:cb30b1d1391c1213114f0e88a0ac63dc,EngineeringObject,,河堤挡墙,False,河堤挡墙,['事故中坍塌的河堤挡墙是导致人员伤亡的直接工程对象。'],['HCA-b9630e82d7'],['EngineeringObject:cb30b1d1391c1213114f0e88a0ac63dc'],['案例001_事故经过'],[]
['地质条件未充分考虑'],,[],['河堤挡墙未能充分考虑地质条件，根基处理不到位'],canonical,UnsafeObjectState:canonical:c08e78a1313e348497fbab4022217847,UnsafeObjectState,,地质条件未充分考虑,False,地质条件未充分考虑,['河堤挡墙未充分考虑地质条件，导致根基处理不到位，影响挡墙稳定性。'],['HCA-b9630e82d7'],['UnsafeObjectState:c08e78a1313e348497fbab4022217847'],['案例001_事故原因_直接原因'],[]
['注浆不够饱满'],,[],['注浆不够饱满'],canonical,UnsafeObjectState:canonical:720f117439d14b9fa8d32477611e9cb7,UnsafeObjectState,,注浆不够饱满,False,注浆不够饱满,['挡墙注浆不够饱满，影响其整体稳定性，直接导致坍塌。'],['HCA-b9630e82d7'],['UnsafeObjectState:720f117439d14b9fa8d32477611e9cb7'],['案例001_事故原因_直接原因'],[]
['石料个体较小'],,[],['石料个体较小'],canonical,UnsafeObjectState:canonical:703fd51bd8628416edc7490b5dffe20d,UnsafeObjectState,,石料个体较小,False,石料个体较小,['挡墙石料个体较小，降低了挡墙的稳定性，导致坍塌。'],['HCA-b9630e82d7'],['UnsafeObjectState:703fd51bd8628416edc7490b5dffe20d'],['案例001_事故原因_直接原因'],[]
['沉降缝、排水孔布局不合理'],,[],['沉降缝、排水孔布局不合理'],canonical,UnsafeObjectState:canonical:7f5b99f9e14c9507529f59c7a675aa71,UnsafeObjectState,,沉降缝、排水孔布局不合理,False,沉降缝、排水孔布局不合理,['挡墙的沉降缝和排水孔布局不合理，影响其稳定性，导致坍塌。'],['HCA-b9630e82d7'],['UnsafeObjectState:7f5b99f9e14c9507529f59c7a675aa71'],['案例001_事故原因_直接原因'],[]
['回填碾压不充分'],,[],['回填碾压不充分'],canonical,UnsafeObjectState:canonical:1fb260a0aca937da0defb3c6b7ea4bfb,UnsafeObjectState,,回填碾压不充分,False,回填碾压不充分,['挡墙回填碾压不充分，导致整体稳定性差，直接促成坍塌。'],['HCA-b9630e82d7'],['UnsafeObjectState:1fb260a0aca937da0defb3c6b7ea4bfb'],['案例001_事故原因_直接原因'],[]
['浇筑钢构大棚底柱基础产生强震动'],,[],['在浇筑钢构大棚底柱基础时产生的强大震动也是导致挡墙坍塌的主要原因'],canonical,ConstructionActivity:canonical:179b18acdfe36c9b3729448ccca0073a,ConstructionActivity,,浇筑钢构大棚底柱基础产生强震动,False,浇筑钢构大棚底柱基础产生强震动,['浇筑钢构大棚底柱基础时产生的强震动是导致挡墙坍塌的主要原因之一。'],['HCA-b9630e82d7'],['ConstructionActivity:179b18acdfe36c9b3729448ccca0073a'],['案例001_事故原因_直接原因'],[]
"['安全管理不到位', '安全管理体系不完善']",,[],['施工单位E施工单位F安全管理不到位，对安全重视不够'],canonical,SafetyManagementDefect:canonical:d003a61901c1bb84a097744873bb36dc,SafetyManagementDefect,,安全管理体系不完善,False,安全管理体系不完善,['施工单位E和F安全管理不到位，对安全重视不够，未及时消除隐患。'],['HCA-b9630e82d7'],['SafetyManagementDefect:f4aa06b6437701260c9a7753fdc1439b'],['案例001_事故原因_间接原因'],[]
['安全培训流于形式'],,[],['施工单位E施工单位F对工人的安全培训不到位，仅仅限于口头上的教育，无安全培训记录，安全培训流于形式，未达到培训的目的'],canonical,SafetyCapabilityDefect:canonical:2a25c934ac9225c776a3f6a9992c0f74,SafetyCapabilityDefect,,安全培训流于形式,False,安全培训流于形式,['施工单位E和F对工人的安全培训不到位，仅限于口头教育，无记录，未达到培训目的。'],['HCA-b9630e82d7'],['SafetyCapabilityDefect:2a25c934ac9225c776a3f6a9992c0f74'],['案例001_事故原因_间接原因'],[]
